SMILE,IC50,Source
CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2Cl)NC3=NC=C4C(=N3)N(CC(C(=O)N4C)(F)F)C5CCCC5)OC,1,Pubchem
C[C@H](C1=CC=CC=C1Cl)OC2=C(SC(=C2)N3C=NC4=C3C=C(C=C4)OC[C@H](CO)O)C(=O)N,1,Pubchem
C[C@H](C1=CC=CC=C1Cl)OC2=C(SC(=C2)N3C=NC4=C3C=C(C=C4)OC)C(=O)N,1,Pubchem
CN1CCN(CC1)C2=CC(=C(C=C2)OC(F)(F)F)NC3=NC=C4CCC5=C(C4=N3)N(N=C5C(=O)N)C,1,Pubchem
CN1CCN(CC1)C2=CC(=C(C=C2)OC(F)(F)F)NC3=NC=C4CCC5=C(C4=N3)N(N=C5C(=O)N)C=C,1,Pubchem
C[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C,1.1,Pubchem
COC(=O)C1=C(C=CS1)NC2=NC(=NC=C2[N+](=O)[O-])NC3=CC=C(C=C3)N4CCC(CC4)O,1.27,Pubchem
CC[C@@H]1C2=C(N=CN2C3=CN=C(N=C3N1C4CCCCC4)NC5=C(C=C(C(=C5)F)C(=O)NC6CCN(CC6)C)OC)C#N,1.3,Pubchem
CN(C)C1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)NC4=C(SC=C4)C(=O)OC)Br)OC,1.39,Pubchem
CC[C@@H]1C2=C(N=CN2C3=CN=C(N=C3N1C4CCCC4)NC5=C(C=C(C=C5)C(=O)NC6CCN(CC6)C)OC)C(=O)O,1.4,Pubchem
CC[C@@H]1C2=C(N=CN2C3=CN=C(N=C3N1C4CCCC4)NC5=C(C=C(C=C5)C(=O)NC6CCN(CC6)C)OC)C#N,1.5,Pubchem
COC1=C(C=CC(=C1)N2CCC(CC2)N3CCCC3)NC4=NC=C(C(=N4)NC5=C(SC=C5)C(=O)OC)[N+](=O)[O-],1.58,Pubchem
CC[C@@H]1C2=C(N=CN2C3=CN=C(N=C3N1C(C)C)NC4=C(C=C(C(=C4)F)C(=O)NC5CN(C5)C)OC)C#N,1.7,Pubchem
CC1=CN=C(N=C1NC2=C(SC=C2)C(=O)OC)NC3=C(C=C(C=C3)N4CCC(CC4)N(C)C)OC,1.85,Pubchem
CC[C@@H]1C2=C(N=CN2C3=CN=C(N=C3N1C(C)C)NC4=C(C=C(C(=C4)F)C(=O)NC5CCN(CC5)C)OC)C#N,1.9,Pubchem
COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)N)OCC4=CC=CC=C4Cl)OC,2,Pubchem
COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)N)OCC4=CC=CC=C4Br)OC,2,Pubchem
COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)O)OCC4=CC=CC=C4C(F)(F)F)OC,2,Pubchem
COC1=CC2=C(C=C1)N=CN2C3=CC(=C(S3)C(=O)N)OCC4=CC=CC=C4C(F)(F)F,2,Pubchem
COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)N)OCC4=CC=CC=C4C(F)(F)F)OC,2,Pubchem
COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)N)OCC4=C(C=CS4)Cl)OC,2,Pubchem
C[C@H](C1=CC=CC=C1Cl)OC2=C(SC(=C2)N3C=NC4=C3C=C(C=C4)OC5CCN(CC5)C)C(=O)N,2,Pubchem
COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)N)OCC4=CC=CC=C4C(F)(F)F)OC,2,Pubchem
C[C@H](C1=CC=CC=C1C(F)(F)F)OC2=C(SC(=C2)N3C=NC4=C3C=C(C=C4)OC5CCN(CC5)C)C(=O)N,2,Pubchem
COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)N)OCC4=CC=CC=C4Cl)OC,2,Pubchem
C[C@H](C1=CC=CC=C1Cl)OC2=C(SC(=C2)N3C=NC4=C3C=CC(=C4)C5=CN(N=C5)CCCN(C)C)C(=O)N,2,Pubchem
C[C@H](C1=CC=CC=C1C(F)(F)F)OC2=C(SC(=C2)N3C=NC4=C3C=C(C=C4)C5=CC=NC=C5)C(=O)N,2,Pubchem
C[C@H](C1=CC=CC=C1C(F)(F)F)OC2=C(SC(=C2)N3C=NC4=C3C=C(C=C4)C5=CN=CC=C5)C(=O)N,2,Pubchem
