SMILE,Source,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
Cc1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,CHEMBL,active,334.383,2.12662,2,6,7.823908741
C[C@H](C1=CC=CC=C1C(F)(F)F)OC2=C(SC(=C2)N3C=NC4=C3C=CC(=C4)C5=NC(=NC=C5)N)C(=O)N,Pubchem,active,524.528,5.3839,2,8,9
C[C@H](C1=CC=CC=C1C(F)(F)F)OC2=C(SC(=C2)N3C=NC4=C3C=C(C=C4)C5=CC=NC=C5)C(=O)N,Pubchem,active,508.525,6.4067,1,6,8.698970004
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C(C)C)NC3=C(C=C(C=C3)C(=O)NC4CCN(CC4)C)OCCO)C,Pubchem,active,525.654,2.3851,3,9,6.907279355
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=CC=C(C=C4)S(=O)(=O)N)C,Pubchem,active,430.534,2.3716,2,7,7.188626103
CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CO)C(=O)N[C@H](C(N)=O)[C@@H](C)OP(=O)(O)O,CHEMBL,active,674.649,-3.0762,9,10,6.207608311
COC1=CC2=C(C=C1)C3=NC(=NC=C3CC(=O)N2)NC4=CC(=CC=C4)O,Pubchem,active,348.362,3.096,3,6,6.075720714
CC[C@@H]1C2=C(N=CN2C3=CN=C(N=C3N1C4CCCC4)NC5=C(C=C(C=C5)C(=O)NC6CCN(CC6)C)OC)CO,Pubchem,active,560.703,3.9445,3,10,8.657577319
C[C@H](C1=CC=CC=C1Cl)OC2=C(SC(=C2)N3C=NC4=C3C=C(C=C4)O[C@@H]5CCCN(CC5)C)C(=O)N,Pubchem,active,525.074,5.8424,1,7,8.397940009
CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cncn1CCCCCCO/N=C\c1c(F)cccc1Oc1ccccc1)C(=O)N[C@@H](CO)C(=O)N[C@H](C(N)=O)[C@@H](C)OP(=O)(O)O,CHEMBL,active,988.021,1.9397,8,14,6.173925197
C[C@H]([C@@H](C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CN=CN1CCCCCCCCC2=CC=C(C=C2)CCOCC3=CC=CC=C3)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]4CCCN4C(=O)C)OP(=O)(O)O,Pubchem,active,997.141,2.7398,8,12,6.818156412
CC[C@@H]1C2=NN=C(N2C3=CN=C(N=C3N1CC4CCCCC4)NC5=C(C=C(C=C5)C(=O)NC6CCN(CC6)C)OC)C,Pubchem,active,573.746,4.79332,2,10,6.962573502
CCOc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(Cc1ccccc1)[C@H](CC)C(=O)N2C,CHEMBL,active,557.699,4.2045,2,8,7.075720714
CC1=NN(C2=CC(=NC=C12)N[C@@H](C)C3=CC=CC=C3)C4=CC=C(C=C4)OC,Pubchem,active,358.445,4.91062,1,5,6.153044675
COC1=C(C=CC(=C1)N2CCC(CC2)N3CCCC3)NC4=NC=C(C(=N4)NC5=CC=CC=C5C(=O)OC)[N+](=O)[O-],Pubchem,active,547.616,4.7318,2,11,9.294136288
COC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CC[C@H]2OCCNC(=O)CC[C@H](NC(=O)[C@H](CCSC)NC(=O)[C@@H]3CCCN3)C(=O)N[C@@H](CO)C(=O)N[C@@H]([C@@H](C)OP(=O)(O)O)C(=O)N21,CHEMBL,active,908.966,-3.1316,10,15,6.167491087
C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CN2CCN(C)CC2)cc1Cl,CHEMBL,active,510.063,4.7025,1,7,7.769551079
CN1CCN(c2ccc(Nc3ncc4c(F)cn(-c5cccc(N=S(C)(C)=O)n5)c4n3)cc2)CC1,CHEMBL,active,494.6,3.8091,1,9,6.415668776
C[C@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC6CCCC6)C,Pubchem,active,561.731,4.4795,2,8,6.896196279
CN1CC=C(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)c2)CC1,CHEMBL,active,499.497,3.4357,2,8,8.096910013
C[C@H](C1=C(C=C(C=C1)CNC(C)(C)C)C2CC2)OC3=C(SC(=C3)C4=CN=C5N4C=CC=C5)C(=O)N,Pubchem,active,488.657,6.0672,2,6,6.677780705
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C,Pubchem,active,521.666,3.5568,2,8,9.080921908
